server,mp_learning_rate,mp_weight_decay,mp_drop_prob,mp_noise_prob,mp_train_batch_size,mp_test_batch_size,mp_test_masking_rate,mp_num_epochs,mp_optimizer,mp_activation,mp_hidden_layers,mp_aug_step,mp_aug_step_floor,mp_decoder_constraint,mp_normalize_data,mp_last_layer_activations,mp_prediction_floor,mp_loss_size_average,dp_test_split_rate,dp_pivot_indexes,_RMSE,_learn_time,1m
dai,0.01,0,0.6,0.8,8,8,0.3,8,adagrad,tanh,"[64, 4]",0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,0.3,"[1, 0]",0.833501222,150.6330106,0.893660963
dai,0.01,0.001,0,0,8,8,0.3,10,sgd,relu6,"[8, 32, 64, 512, 1024]",2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.4,"[1, 0]",0.837186774,522.926213,0.945290514
dai,0.001,0.005,0.1,0.5,1024,7,0.3,8,adagrad,elu,"[4096, 4, 1024]",2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.3,"[1, 0]",0.848821479,47.73197436,0.970541916
dai,0.001,0.005,0.5,0.4,256,9,0.7,8,sgd,selu,"[2048, 256, 32, 2]",1,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.2,"[1, 0]",0.865773596,59.65840912,0.983335288
dai,0.001,0.01,0.3,0.5,16,9,0.2,2,sgd,sigmoid,"[16, 16, 128, 512, 1024]",2,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,0.3,"[1, 0]",0.872500764,76.51730895,0.981385625
dai,0.005,0.001,0,0.5,4,10,0.3,10,adagrad,selu,"[2, 4, 32, 256, 2]",0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0.1,"[1, 0]",0.877350334,387.5321236,0.927074455
dai,0.005,0.001,0.7,0.6,1,8,0.5,1,sgd,swish,"[16, 8]",1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,0.4,"[1, 0]",0.879960245,86.13057542,0.98091015
dai,0.0001,0.1,0.9,0.4,32,1,0.1,10,adam,relu6,"[128, 16, 256, 128]",0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.2,"[1, 0]",0.884932763,107.7765419,0.974709851
dai,0.1,0.01,0.8,0.4,8,10,0.3,4,sgd,elu,128,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0.4,"[1, 0]",0.8857226,141.9349401,0.981540336
dai,0.1,0.1,0.9,0.5,16,6,0.3,4,sgd,elu,64,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0.2,"[1, 0]",0.886521483,84.05714035,0.976084069
dai,0.005,0.01,0,0.2,256,9,0.7,8,adam,relu6,4096,0,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0.2,"[1, 0]",0.887360975,54.1606009,0.966893666
dai,0.0001,0.1,0.4,0.1,64,10,0.5,1,rmsprop,relu,"[32, 64, 256, 512]",3,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,0.1,"[1, 0]",0.891499524,14.11192536,
dai,0.005,0.005,0.1,0.1,512,9,0.9,4,rmsprop,swish,"[8, 8, 16, 1024]",1,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,0.4,"[1, 0]",0.891991513,17.41776204,
dai,0.0001,0.1,0.7,0,64,8,0.4,10,rmsprop,relu6,"[8, 32, 4096, 4096, 4096]",0,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,0.2,"[1, 0]",0.892906982,906.1560199,
dai,0.1,0.01,0.2,0.9,4,2,0.7,1,adagrad,relu6,256,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,0.4,"[1, 0]",0.893163522,38.91687083,
dai,0.005,0.0001,0.6,0,16,2,0.5,1,adam,selu,[512],0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,0.2,"[1, 0]",0.89330191,14.81279397,
